"","symbol","cases","ctrls","Odds ratio","95% CIs","P value","Adj. P value"
"CLNK","CLNK",1,11,0.559,"0.013-3.852",1,1
"CLNS1A","CLNS1A",1,4,1.538,"0.031-15.557",0.529226454405268,1
"CLOCK","CLOCK",3,19,0.971,"0.184-3.308",1,1
"CLP1","CLP1",3,7,2.64,"0.44-11.587",0.154003911264573,1
"CLPB","CLPB",2,19,0.647,"0.073-2.688",0.758010506082774,1
"CLPP","CLPP",3,7,2.64,"0.44-11.587",0.154003911264573,1
"CLPS","CLPS",1,4,1.538,"0.031-15.557",0.529226454405268,1
"CLPSL1","CLPSL1",1,4,1.538,"0.031-15.557",0.529226454405268,1
"CLPSL2","CLPSL2",2,2,6.159,"0.446-85.26",0.0965477767420391,1
"CLPTM1","CLPTM1",5,16,1.927,"0.551-5.519",0.202045084099006,1
"CLPTM1L","CLPTM1L",2,18,0.683,"0.077-2.859",1,1
"CLPX","CLPX",1,14,0.439,"0.01-2.89",0.709996289764432,1
"CLRN1","CLRN1",2,8,1.539,"0.159-7.725",0.639392254739406,1
"CLRN2","CLRN2",0,5,0,"0-6.716",1,1
"CLRN3","CLRN3",1,5,1.23,"0.026-11.012",0.595101749677219,1
"CLSPN","CLSPN",3,30,0.614,"0.12-1.98",0.613990127346879,1
"CLSTN1","CLSTN1",7,46,0.936,"0.355-2.094",1,1
"CLSTN2","CLSTN2",5,45,0.682,"0.211-1.718",0.540441262834353,1
"CLSTN3","CLSTN3",4,17,1.449,"0.354-4.454",0.523188248243264,1
"CLTA","CLTA",1,7,0.879,"0.019-6.851",1,1
"CLTB","CLTB",3,7,2.64,"0.44-11.587",0.154003911264573,1
"CLTC","CLTC",1,14,0.439,"0.01-2.89",0.709996289764432,1
"CLTCL1","CLTCL1",1038,6385,0,"0-Inf",1,1
"CLU","CLU",4,12,2.054,"0.482-6.795",0.265087990681448,1
"CLUAP1","CLUAP1",2,19,0.647,"0.073-2.688",0.758010506082774,1
"CLUH","CLUH",9,39,1.423,"0.604-2.998",0.302025951193437,1
"CLUL1","CLUL1",0,8,0,"0-3.605",0.610068929015988,1
"CLVS1","CLVS1",1,6,1.025,"0.022-8.464",1,1
"CLVS2","CLVS2",0,7,0,"0-4.27",0.603344925597232,1
"CLYBL","CLYBL",3,10,1.848,"0.326-7.192",0.410568517995923,1
"CMA1","CMA1",3,11,1.679,"0.3-6.372",0.431542721818455,1
"CMAS","CMAS",5,7,4.409,"1.101-16.172",0.0178963478372001,1
"CMBL","CMBL",1,9,0.683,"0.016-4.939",1,1
"CMC1","CMC1",0,1,0,"0-239.007",1,1
"CMC2","CMC2",1,0,Inf,"0.158-Inf",0.139835645965243,1
"CMC4","CMC4",0,2,0,"0-32.757",1,1
"CMIP","CMIP",2,20,0.614,"0.07-2.536",0.758980955567048,1
"CMKLR1","CMKLR1",1,8,0.769,"0.017-5.744",1,1
"CMPK1","CMPK1",0,1,0,"0-239.007",1,1
"CMPK2","CMPK2",6,16,2.314,"0.74-6.243",0.112080881507498,1
"CMSS1","CMSS1",3,11,1.679,"0.3-6.372",0.431542721818455,1
"CMTM1","CMTM1",0,7,0,"0-4.27",0.603344925597232,1
"CMTM2","CMTM2",1,5,1.23,"0.026-11.012",0.595101749677219,1
"CMTM3","CMTM3",0,5,0,"0-6.716",1,1
"CMTM4","CMTM4",5,8,3.857,"0.991-13.403",0.025799803270128,1
"CMTM5","CMTM5",2,7,1.759,"0.178-9.255",0.365109577660504,1
"CMTM6","CMTM6",0,2,0,"0-32.757",1,1
"CMTM7","CMTM7",1,1,6.154,"0.078-481.339",0.260133490143103,1
"CMTM8","CMTM8",0,10,0,"0-2.745",0.375510171744492,1
"CMTR1","CMTR1",6,11,3.368,"1.02-9.961",0.023101557391822,1
"CMTR2","CMTR2",3,12,1.539,"0.278-5.716",0.455429043363959,1
"CMYA5","CMYA5",15,97,0.951,"0.51-1.654",1,1
"CNBD1","CNBD1",3,14,1.319,"0.243-4.737",0.722097011321823,1
"CNBD2","CNBD2",6,10,3.706,"1.104-11.281",0.0169026013832543,1
"CNBP","CNBP",0,1,0,"0-239.007",1,1
"CNDP1","CNDP1",2,10,1.231,"0.131-5.787",0.679878101976289,1
"CNDP2","CNDP2",3,23,0.802,"0.154-2.661",1,1
"CNEP1R1","CNEP1R1",1,4,1.538,"0.031-15.557",0.529226454405268,1
"CNFN","CNFN",0,4,0,"0-9.323",1,1
"CNGA1","CNGA1",4,25,0.984,"0.248-2.859",1,1
"CNGA2","CNGA2",4,17,1.449,"0.354-4.454",0.523188248243264,1
"CNGA3","CNGA3",2,24,0.512,"0.059-2.066",0.568979735906133,1
"CNGA4","CNGA4",5,26,1.184,"0.354-3.142",0.793547316350366,1
"CNGB1","CNGB1",7,47,0.916,"0.348-2.046",1,1
"CNGB3","CNGB3",7,36,1.197,"0.448-2.737",0.657950877814045,1
"CNIH1","CNIH1",1,5,1.23,"0.026-11.012",0.595101749677219,1
"CNIH2","CNIH2",2,3,4.106,"0.343-35.884",0.146321784034376,1
"CNIH3","CNIH3",2,2,6.159,"0.446-85.26",0.0965477767420391,1
"CNIH4","CNIH4",2,2,6.159,"0.446-85.26",0.0965477767420391,1
"CNKSR1","CNKSR1",1,23,0.267,"0.006-1.646",0.239266558158527,1
"CNKSR2","CNKSR2",1,3,2.051,"0.039-25.583",0.452645520331089,1
"CNKSR3","CNKSR3",0,18,0,"0-1.398",0.161446135622142,1
"CNN1","CNN1",0,7,0,"0-4.27",0.603344925597232,1
"CNN2","CNN2",1,11,0.559,"0.013-3.852",1,1
"CNN3","CNN3",2,6,2.052,"0.202-11.499",0.310577073195175,1
"CNNM1","CNNM1",2,22,0.558,"0.064-2.277",0.565568150629973,1
"CNNM2","CNNM2",0,7,0,"0-4.27",0.603344925597232,1
"CNNM3","CNNM3",3,27,0.683,"0.132-2.224",0.790947924273004,1
"CNNM4","CNNM4",5,19,1.622,"0.472-4.503",0.369253344532591,1
"CNOT1","CNOT1",2,21,0.585,"0.066-2.399",0.761589471370194,1
"CNOT10","CNOT10",4,22,1.119,"0.28-3.304",0.777283883271066,1
"CNOT11","CNOT11",1,10,0.615,"0.014-4.33",1,1
"CNOT3","CNOT3",3,16,1.154,"0.215-4.041",0.741504891089014,1
"CNOT4","CNOT4",0,9,0,"0-3.117",0.622676612666482,1
"CNOT6","CNOT6",1,5,1.23,"0.026-11.012",0.595101749677219,1
"CNOT6L","CNOT6L",1,8,0.769,"0.017-5.744",1,1
"CNOT7","CNOT7",1,1,6.154,"0.078-481.339",0.260133490143103,1
"CNOT8","CNOT8",0,3,0,"0-14.893",1,1
"CNP","CNP",1,5,1.23,"0.026-11.012",0.595101749677219,1
"CNPPD1","CNPPD1",5,12,2.57,"0.708-7.859",0.0772889142146978,1
"CNPY1","CNPY1",0,2,0,"0-32.757",1,1
"CNPY2","CNPY2",1,5,1.23,"0.026-11.012",0.595101749677219,1
"CNPY3","CNPY3",1,5,1.23,"0.026-11.012",0.595101749677219,1
"CNPY4","CNPY4",2,12,1.025,"0.111-4.615",1,1
"CNR1","CNR1",3,10,1.848,"0.326-7.192",0.410568517995923,1
"CNR2","CNR2",1,6,1.025,"0.022-8.464",1,1
"CNRIP1","CNRIP1",0,5,0,"0-6.716",1,1
"CNST","CNST",3,10,1.848,"0.326-7.192",0.410568517995923,1
"CNTD1","CNTD1",0,3,0,"0-14.893",1,1
"CNTD2","CNTD2",2,22,0.558,"0.064-2.277",0.565568150629973,1
"CNTF","CNTF",1,10,0.615,"0.014-4.33",1,1
"CNTFR","CNTFR",1,7,0.879,"0.019-6.851",1,1
"CNTLN","CNTLN",8,46,1.07,"0.435-2.299",0.843582084016188,1
"CNTN1","CNTN1",3,15,1.231,"0.228-4.362",0.731093398242643,1
"CNTN2","CNTN2",6,21,1.762,"0.58-4.527",0.258138436865367,1
"CNTN3","CNTN3",5,27,1.14,"0.342-3.012",0.797058416412435,1
"CNTN4","CNTN4",4,36,0.682,"0.176-1.909",0.647287344012614,1
"CNTN5","CNTN5",6,40,0.922,"0.319-2.197",1,1
"CNTN6","CNTN6",8,35,1.409,"0.563-3.103",0.37623618188973,1
"CNTNAP1","CNTNAP1",9,45,1.232,"0.528-2.563",0.554026764648856,1
"CNTNAP2","CNTNAP2",11,34,2.001,"0.911-4.059",0.0513157111817255,1
"CNTNAP3","CNTNAP3",4,18,1.368,"0.336-4.165",0.53682932860853,1
"CNTNAP3B","CNTNAP3B",3,15,1.231,"0.228-4.362",0.731093398242643,1
"CNTNAP4","CNTNAP4",5,33,0.932,"0.283-2.409",1,1
"CNTNAP5","CNTNAP5",8,32,1.542,"0.612-3.429",0.255025140570437,1
"CNTRL","CNTRL",17,68,1.547,"0.848-2.675",0.114979463733948,1
"CNTROB","CNTROB",10,35,1.765,"0.777-3.655",0.127484376771151,1
"COA1","COA1",1,7,0.879,"0.019-6.851",1,1
"COA3","COA3",0,8,0,"0-3.605",0.610068929015988,1
"COA4","COA4",0,3,0,"0-14.893",1,1
"COA5","COA5",0,1,0,"0-239.007",1,1
"COA6","COA6",2,4,3.079,"0.278-21.514",0.199849978045513,1
"COA7","COA7",1,5,1.23,"0.026-11.012",0.595101749677219,1
"COASY","COASY",6,11,3.368,"1.02-9.961",0.023101557391822,1
"COBL","COBL",3,35,0.526,"0.103-1.673",0.353965704966415,1
"COBLL1","COBLL1",7,24,1.799,"0.653-4.318",0.188498230976817,1
"COCH","COCH",3,20,0.922,"0.175-3.119",1,1
"COG1","COG1",6,37,0.997,"0.343-2.392",1,1
"COG2","COG2",3,17,1.086,"0.204-3.763",0.752971839014173,1
"COG3","COG3",4,20,1.231,"0.305-3.685",0.765639688844986,1
"COG4","COG4",4,28,0.878,"0.223-2.518",1,1
"COG5","COG5",4,30,0.819,"0.209-2.332",1,1
"COG6","COG6",4,30,0.819,"0.209-2.332",1,1
"COG7","COG7",4,19,1.296,"0.32-3.91",0.552339193553217,1
"COG8","COG8",3,19,0.971,"0.184-3.308",1,1
"COIL","COIL",3,16,1.154,"0.215-4.041",0.741504891089014,1
"COL10A1","COL10A1",5,25,1.231,"0.367-3.285",0.60066527627902,1
"COL11A1","COL11A1",17,53,1.989,"1.075-3.506",0.0222887740785733,1
"COL11A2","COL11A2",18,62,1.8,"0.998-3.097",0.0342960095797104,1
"COL12A1","COL12A1",20,84,1.474,"0.853-2.435",0.118577996767807,1
"COL13A1","COL13A1",5,29,1.061,"0.32-2.78",0.806387626723823,1
"COL14A1","COL14A1",4,42,0.584,"0.152-1.615",0.395042090039288,1
"COL15A1","COL15A1",4,42,0.584,"0.152-1.615",0.395042090039288,1
"COL16A1","COL16A1",12,43,1.725,"0.825-3.343",0.114654235372396,1
"COL17A1","COL17A1",9,53,1.045,"0.452-2.145",0.85445692869324,1
"COL18A1","COL18A1",18,81,1.373,"0.772-2.321",0.241482268484988,1
"COL19A1","COL19A1",7,38,1.134,"0.426-2.579",0.670265916488591,1
"COL1A1","COL1A1",8,45,1.094,"0.444-2.354",0.841715886027026,1
"COL1A2","COL1A2",11,48,1.414,"0.66-2.772",0.342840015594113,1
"COL20A1","COL20A1",6,39,0.946,"0.326-2.258",1,1
"COL21A1","COL21A1",10,30,2.06,"0.896-4.346",0.0625004793313179,1
"COL22A1","COL22A1",14,61,1.417,"0.729-2.575",0.240847197406995,1
"COL23A1","COL23A1",10,33,1.872,"0.82-3.904",0.11725044478304,1
"COL24A1","COL24A1",13,42,1.915,"0.94-3.652",0.0489760491409139,1
"COL25A1","COL25A1",3,18,1.025,"0.193-3.521",1,1
"COL26A1","COL26A1",1,22,0.279,"0.007-1.729",0.238930332860639,1
"COL27A1","COL27A1",14,65,1.329,"0.686-2.404",0.327763729575479,1
"COL28A1","COL28A1",10,43,1.435,"0.641-2.911",0.317647136219351,1
"COL2A1","COL2A1",10,42,1.469,"0.655-2.987",0.311932471567829,1
"COL3A1","COL3A1",6,37,0.997,"0.343-2.392",1,1
"COL4A1","COL4A1",6,29,1.274,"0.431-3.133",0.622339269721269,1
"COL4A2","COL4A2",11,57,1.189,"0.56-2.301",0.597377984902469,1
"COL4A3","COL4A3",13,49,1.64,"0.813-3.083",0.137617379935938,1
"COL4A3BP","COL4A3BP",3,16,1.154,"0.215-4.041",0.741504891089014,1
"COL4A4","COL4A4",9,39,1.423,"0.604-2.998",0.302025951193437,1
"COL4A5","COL4A5",7,36,1.197,"0.448-2.737",0.657950877814045,1
"COL4A6","COL4A6",7,28,1.541,"0.567-3.623",0.323948206537819,1
"COL5A1","COL5A1",19,76,1.548,"0.88-2.599",0.100072247770094,1
"COL5A2","COL5A2",18,44,2.543,"1.377-4.512",0.00247238289164796,1
"COL5A3","COL5A3",14,49,1.768,"0.898-3.268",0.0670627846042014,1
"COL6A1","COL6A1",11,44,1.543,"0.716-3.05",0.237652514005654,1
"COL6A2","COL6A2",19,55,2.146,"1.197-3.69",0.00646721150102819,1
"COL6A3","COL6A3",20,98,1.26,"0.734-2.065",0.348539827704937,1
"COL6A5","COL6A5",21,62,2.106,"1.213-3.521",0.00596568142764319,1
"COL6A6","COL6A6",12,74,0.997,"0.491-1.857",1,1
"COL7A1","COL7A1",20,85,1.456,"0.843-2.404",0.154358183077745,1
"COL8A1","COL8A1",4,20,1.231,"0.305-3.685",0.765639688844986,1
"COL8A2","COL8A2",2,21,0.585,"0.066-2.399",0.761589471370194,1
"COL9A1","COL9A1",5,37,0.83,"0.254-2.125",0.826339860035477,1
"COL9A2","COL9A2",8,19,2.602,"0.983-6.244",0.0441280419239615,1
"COL9A3","COL9A3",9,34,1.634,"0.687-3.491",0.185981522674285,1
"COLCA1","COLCA1",0,5,0,"0-6.716",1,1
"COLCA2","COLCA2",0,3,0,"0-14.893",1,1
"COLEC10","COLEC10",2,11,1.119,"0.12-5.136",0.701727828969992,1
"COLEC11","COLEC11",3,12,1.539,"0.278-5.716",0.455429043363959,1
"COLEC12","COLEC12",4,11,2.241,"0.52-7.581",0.146976758973893,1
"COLGALT1","COLGALT1",9,29,1.917,"0.796-4.174",0.0974390931496774,1
"COLGALT2","COLGALT2",1,6,1.025,"0.022-8.464",1,1
"COLQ","COLQ",3,21,0.878,"0.167-2.949",1,1
"COMMD1","COMMD1",1,8,0.769,"0.017-5.744",1,1
"COMMD10","COMMD10",0,10,0,"0-2.745",0.375510171744492,1
"COMMD2","COMMD2",2,4,3.079,"0.278-21.514",0.199849978045513,1
"COMMD3","COMMD3",2,16,0.768,"0.086-3.276",1,1
"COMMD3-BMI1","COMMD3-BMI1",3,13,1.421,"0.259-5.182",0.481390254039294,1
"COMMD4","COMMD4",3,10,1.848,"0.326-7.192",0.410568517995923,1
"COMMD5","COMMD5",2,4,3.079,"0.278-21.514",0.199849978045513,1
"COMMD6","COMMD6",0,1,0,"0-239.007",1,1
"COMMD7","COMMD7",2,5,2.463,"0.234-15.066",0.255111685903417,1
"COMMD8","COMMD8",2,6,2.052,"0.202-11.499",0.310577073195175,1
"COMMD9","COMMD9",0,6,0,"0-5.227",1,1
"COMP","COMP",2,24,0.512,"0.059-2.066",0.568979735906133,1
"COMT","COMT",6,8,4.633,"1.322-15.263",0.00811547509616963,1
"COMTD1","COMTD1",2,10,1.231,"0.131-5.787",0.679878101976289,1
"COPA","COPA",3,17,1.086,"0.204-3.763",0.752971839014173,1
"COPB1","COPB1",5,25,1.231,"0.367-3.285",0.60066527627902,1
"COPB2","COPB2",6,10,3.706,"1.104-11.281",0.0169026013832543,1
"COPE","COPE",3,13,1.421,"0.259-5.182",0.481390254039294,1
"COPG1","COPG1",5,21,1.467,"0.431-4.009",0.398019319083079,1
"COPG2","COPG2",0,4,0,"0-9.323",1,1
"COPRS","COPRS",1,7,0.879,"0.019-6.851",1,1
"COPS2","COPS2",0,1,0,"0-239.007",1,1
"COPS3","COPS3",1,1,6.154,"0.078-481.339",0.260133490143103,1
"COPS5","COPS5",0,4,0,"0-9.323",1,1
"COPS6","COPS6",1,2,3.077,"0.052-59.188",0.363621084433827,1
"COPS7A","COPS7A",2,4,3.079,"0.278-21.514",0.199849978045513,1
"COPS7B","COPS7B",0,4,0,"0-9.323",1,1
"COPS8","COPS8",0,2,0,"0-32.757",1,1
"COPZ1","COPZ1",0,4,0,"0-9.323",1,1
"COPZ2","COPZ2",1,10,0.615,"0.014-4.33",1,1
"COQ10A","COQ10A",3,5,3.698,"0.573-19.033",0.0887155240281463,1
"COQ10B","COQ10B",0,10,0,"0-2.745",0.375510171744492,1
"COQ2","COQ2",3,13,1.421,"0.259-5.182",0.481390254039294,1
"COQ3","COQ3",2,7,1.759,"0.178-9.255",0.365109577660504,1
"COQ4","COQ4",2,12,1.025,"0.111-4.615",1,1
"COQ5","COQ5",2,10,1.231,"0.131-5.787",0.679878101976289,1
"COQ6","COQ6",4,24,1.025,"0.258-2.993",1,1
"COQ7","COQ7",2,6,2.052,"0.202-11.499",0.310577073195175,1
"COQ9","COQ9",3,12,1.539,"0.278-5.716",0.455429043363959,1
"CORIN","CORIN",7,40,1.077,"0.406-2.438",0.832640398828766,1
"CORO1A","CORO1A",2,12,1.025,"0.111-4.615",1,1
"CORO1B","CORO1B",8,19,2.602,"0.983-6.244",0.0441280419239615,1
"CORO1C","CORO1C",3,7,2.64,"0.44-11.587",0.154003911264573,1
"CORO2A","CORO2A",8,22,2.246,"0.862-5.255",0.0598182894997793,1
"CORO2B","CORO2B",3,7,2.64,"0.44-11.587",0.154003911264573,1
"CORO6","CORO6",3,24,0.768,"0.148-2.537",1,1
"CORO7","CORO7",10,33,1.872,"0.82-3.904",0.11725044478304,1
"CORO7-PAM16","CORO7-PAM16",11,37,1.837,"0.843-3.693",0.091083330876912,1
"CORT","CORT",3,6,3.081,"0.498-14.447",0.11971330756652,1
"COTL1","COTL1",2,3,4.106,"0.343-35.884",0.146321784034376,1
"COX10","COX10",5,13,2.372,"0.661-7.109",0.0952232307268908,1
"COX11","COX11",1,5,1.23,"0.026-11.012",0.595101749677219,1
"COX14","COX14",0,3,0,"0-14.893",1,1
"COX15","COX15",2,10,1.231,"0.131-5.787",0.679878101976289,1
"COX16","COX16",1,3,2.051,"0.039-25.583",0.452645520331089,1
"COX17","COX17",0,1,0,"0-239.007",1,1
"COX18","COX18",4,5,4.935,"0.977-22.967",0.0267199569513988,1
"COX19","COX19",0,2,0,"0-32.757",1,1
"COX20","COX20",1,4,1.538,"0.031-15.557",0.529226454405268,1
"COX4I1","COX4I1",1,6,1.025,"0.022-8.464",1,1
"COX4I2","COX4I2",1,8,0.769,"0.017-5.744",1,1
"COX5A","COX5A",1,4,1.538,"0.031-15.557",0.529226454405268,1
"COX5B","COX5B",0,3,0,"0-14.893",1,1
"COX6A1","COX6A1",2,3,4.106,"0.343-35.884",0.146321784034376,1
"COX6A1P2","COX6A1P2",0,3,0,"0-14.893",1,1
"COX6A2","COX6A2",2,5,2.463,"0.234-15.066",0.255111685903417,1
"COX6B1","COX6B1",0,1,0,"0-239.007",1,1
"COX6B2","COX6B2",0,5,0,"0-6.716",1,1
"COX7A1","COX7A1",1,3,2.051,"0.039-25.583",0.452645520331089,1
"COX7A2","COX7A2",0,4,0,"0-9.323",1,1
"COX7A2L","COX7A2L",0,5,0,"0-6.716",1,1
"COX7B","COX7B",0,1,0,"0-239.007",1,1
"COX7B2","COX7B2",2,4,3.079,"0.278-21.514",0.199849978045513,1
"COX8A","COX8A",0,4,0,"0-9.323",1,1
"COX8C","COX8C",1,3,2.051,"0.039-25.583",0.452645520331089,1
"CP","CP",4,29,0.848,"0.216-2.422",1,1
"CPA1","CPA1",5,11,2.804,"0.762-8.776",0.0613514563256166,1
"CPA2","CPA2",5,15,2.055,"0.583-5.965",0.185648735666623,1
"CPA3","CPA3",1,11,0.559,"0.013-3.852",1,1
"CPA4","CPA4",1,22,0.279,"0.007-1.729",0.238930332860639,1
"CPA5","CPA5",4,17,1.449,"0.354-4.454",0.523188248243264,1
"CPA6","CPA6",3,23,0.802,"0.154-2.661",1,1
"CPAMD8","CPAMD8",17,62,1.698,"0.927-2.956",0.0702064905990262,1
"CPB1","CPB1",4,15,1.643,"0.396-5.169",0.326861544700347,1
"CPB2","CPB2",0,9,0,"0-3.117",0.622676612666482,1
"CPD","CPD",10,36,1.715,"0.757-3.542",0.13449641797887,1
"CPE","CPE",4,14,1.76,"0.421-5.62",0.30354301091107,1
"CPEB1","CPEB1",5,15,2.055,"0.583-5.965",0.185648735666623,1
"CPEB2","CPEB2",9,47,1.179,"0.507-2.444",0.697483652633894,1
"CPEB3","CPEB3",0,11,0,"0-2.451",0.381372621441588,1
"CPEB4","CPEB4",2,5,2.463,"0.234-15.066",0.255111685903417,1
"CPED1","CPED1",1,30,0.204,"0.005-1.232",0.114570465415661,1
"CPLX1","CPLX1",1,6,1.025,"0.022-8.464",1,1
"CPLX2","CPLX2",1,3,2.051,"0.039-25.583",0.452645520331089,1
"CPLX3","CPLX3",2,5,2.463,"0.234-15.066",0.255111685903417,1
"CPLX4","CPLX4",1,6,1.025,"0.022-8.464",1,1
"CPM","CPM",2,8,1.539,"0.159-7.725",0.639392254739406,1
"CPN1","CPN1",5,10,3.085,"0.826-9.93",0.0474611891561284,1
"CPN2","CPN2",1,8,0.769,"0.017-5.744",1,1
"CPNE1","CPNE1",4,26,0.946,"0.239-2.735",1,1
"CPNE2","CPNE2",7,28,1.541,"0.567-3.623",0.323948206537819,1
"CPNE3","CPNE3",5,19,1.622,"0.472-4.503",0.369253344532591,1
"CPNE4","CPNE4",0,14,0,"0-1.854",0.241575351311578,1
"CPNE5","CPNE5",2,19,0.647,"0.073-2.688",0.758010506082774,1
"CPNE6","CPNE6",4,11,2.241,"0.52-7.581",0.146976758973893,1
"CPNE7","CPNE7",13,45,1.787,"0.881-3.385",0.0835147438825053,1
"CPNE8","CPNE8",3,15,1.231,"0.228-4.362",0.731093398242643,1
"CPNE9","CPNE9",5,23,1.339,"0.397-3.611",0.5813206626191,1
"CPO","CPO",1,9,0.683,"0.016-4.939",1,1
"CPOX","CPOX",3,13,1.421,"0.259-5.182",0.481390254039294,1
"CPPED1","CPPED1",2,9,1.368,"0.144-6.62",0.658821194906285,1
"CPQ","CPQ",1,11,0.559,"0.013-3.852",1,1
"CPS1","CPS1",11,34,2.001,"0.911-4.059",0.0513157111817255,1
"CPSF1","CPSF1",9,41,1.353,"0.577-2.838",0.411473324527614,1
"CPSF2","CPSF2",0,11,0,"0-2.451",0.381372621441588,1
"CPSF3","CPSF3",4,8,3.083,"0.678-11.529",0.0745428741557966,1
"CPSF3L","CPSF3L",7,26,1.66,"0.607-3.94",0.212732275542197,1
"CPSF4","CPSF4",0,2,0,"0-32.757",1,1
"CPSF4L","CPSF4L",3,4,4.623,"0.676-27.353",0.0616957084007511,1
"CPSF6","CPSF6",1,12,0.512,"0.012-3.468",1,1
"CPSF7","CPSF7",2,14,0.879,"0.097-3.834",1,1
"CPT1A","CPT1A",1,18,0.341,"0.008-2.165",0.50323536378801,1
"CPT1B","CPT1B",7,28,1.541,"0.567-3.623",0.323948206537819,1
"CPT1C","CPT1C",3,34,0.541,"0.106-1.727",0.472803566220935,1
"CPT2","CPT2",4,19,1.296,"0.32-3.91",0.552339193553217,1
"CPVL","CPVL",4,15,1.643,"0.396-5.169",0.326861544700347,1
"CPXCR1","CPXCR1",2,5,2.463,"0.234-15.066",0.255111685903417,1
"CPXM1","CPXM1",6,19,1.948,"0.635-5.088",0.14891550394642,1
"CPXM2","CPXM2",9,30,1.853,"0.771-4.017",0.105497799713889,1
"CPZ","CPZ",13,42,1.915,"0.94-3.652",0.0489760491409139,1
"CR1","CR1",10,31,1.994,"0.869-4.188",0.0676044090701283,1
"CR1L","CR1L",6,16,2.314,"0.74-6.243",0.112080881507498,1
"CR2","CR2",9,34,1.634,"0.687-3.491",0.185981522674285,1
"CR769776.1","CR769776.1",0,2,0,"0-32.757",1,1
"CRABP1","CRABP1",2,3,4.106,"0.343-35.884",0.146321784034376,1
"CRABP2","CRABP2",4,2,12.339,"1.766-136.762",0.00450813559496711,1
"CRADD","CRADD",2,6,2.052,"0.202-11.499",0.310577073195175,1
"CRAMP1L","CRAMP1L",5,37,0.83,"0.254-2.125",0.826339860035477,1
"CRAT","CRAT",3,25,0.737,"0.142-2.423",0.788902202795636,1
"CRB1","CRB1",2,28,0.438,"0.051-1.743",0.423930810749317,1
"CRB2","CRB2",16,54,1.835,"0.977-3.27",0.0376145370096423,1
"CRB3","CRB3",4,5,4.935,"0.977-22.967",0.0267199569513988,1
"CRBN","CRBN",4,8,3.083,"0.678-11.529",0.0745428741557966,1
"CRCP","CRCP",4,4,6.169,"1.147-33.152",0.0166626823550926,1
"CRCT1","CRCT1",0,2,0,"0-32.757",1,1
"CREB1","CREB1",0,3,0,"0-14.893",1,1
"CREB3","CREB3",2,5,2.463,"0.234-15.066",0.255111685903417,1
"CREB3L1","CREB3L1",5,10,3.085,"0.826-9.93",0.0474611891561284,1
"CREB3L2","CREB3L2",3,15,1.231,"0.228-4.362",0.731093398242643,1
"CREB3L3","CREB3L3",2,14,0.879,"0.097-3.834",1,1
"CREB3L4","CREB3L4",1,12,0.512,"0.012-3.468",1,1
"CREB5","CREB5",3,18,1.025,"0.193-3.521",1,1
"CREBBP","CREBBP",4,49,0.5,"0.131-1.369",0.231831609781686,1
"CREBL2","CREBL2",1,3,2.051,"0.039-25.583",0.452645520331089,1
"CREBRF","CREBRF",2,7,1.759,"0.178-9.255",0.365109577660504,1
"CREBZF","CREBZF",1,8,0.769,"0.017-5.744",1,1
"CREG1","CREG1",1,10,0.615,"0.014-4.33",1,1
"CREG2","CREG2",2,6,2.052,"0.202-11.499",0.310577073195175,1
"CRELD1","CRELD1",3,12,1.539,"0.278-5.716",0.455429043363959,1
"CRELD2","CRELD2",3,16,1.154,"0.215-4.041",0.741504891089014,1
"CREM","CREM",1,9,0.683,"0.016-4.939",1,1
"CRH","CRH",0,6,0,"0-5.227",1,1
"CRHBP","CRHBP",0,6,0,"0-5.227",1,1
"CRHR1","CRHR1",2,10,1.231,"0.131-5.787",0.679878101976289,1
"CRHR2","CRHR2",5,23,1.339,"0.397-3.611",0.5813206626191,1
"CRIM1","CRIM1",4,35,0.702,"0.181-1.969",0.646196391999808,1
"CRIP1","CRIP1",1,8,0.769,"0.017-5.744",1,1
"CRIP2","CRIP2",1,10,0.615,"0.014-4.33",1,1
"CRIP3","CRIP3",3,6,3.081,"0.498-14.447",0.11971330756652,1
"CRIPAK","CRIPAK",5,24,1.283,"0.381-3.44",0.590237796823468,1
"CRIPT","CRIPT",2,1,12.317,"0.641-723.543",0.0531583015616563,1
"CRISP1","CRISP1",2,11,1.119,"0.12-5.136",0.701727828969992,1
"CRISP2","CRISP2",1,10,0.615,"0.014-4.33",1,1
"CRISP3","CRISP3",3,7,2.64,"0.44-11.587",0.154003911264573,1
"CRISPLD1","CRISPLD1",1,15,0.41,"0.01-2.667",0.714917673307461,1
"CRISPLD2","CRISPLD2",1,14,0.439,"0.01-2.89",0.709996289764432,1
"CRK","CRK",1,2,3.077,"0.052-59.188",0.363621084433827,1
"CRKL","CRKL",0,4,0,"0-9.323",1,1
"CRLF1","CRLF1",3,19,0.971,"0.184-3.308",1,1
"CRLF2","CRLF2",2,4,3.079,"0.278-21.514",0.199849978045513,1
"CRLF3","CRLF3",2,9,1.368,"0.144-6.62",0.658821194906285,1
"CRLS1","CRLS1",1,6,1.025,"0.022-8.464",1,1
"CRMP1","CRMP1",2,17,0.723,"0.081-3.054",1,1
"CRNKL1","CRNKL1",2,24,0.512,"0.059-2.066",0.568979735906133,1
"CRNN","CRNN",1,12,0.512,"0.012-3.468",1,1
"CROCC","CROCC",29,142,1.264,"0.812-1.906",0.264001039091502,1
"CROT","CROT",8,28,1.763,"0.693-3.985",0.150263773823295,1
